"name","pval","adj_pval","diff","t_statistic","se","df","avg_abundance","n_approx","n_obs","Gene.names","n_obs_wt","n_obs_C182S"
"XRCC5",0.00317143302390951,0.0749603932428381,-0.404989836177602,-3.67608967437798,0.110168649856489,12,25.9577266602575,16.0000000000006,16,"XRCC5",0,0
"VCL",0.438488352440823,0.737515991330848,-0.0763899559677235,-0.801387186295612,0.0953221579706481,12,23.3878649270456,16.0000000002914,16,"VCL",0,0
"SDHB",0.187492173271387,0.461763644471512,-0.202642998647498,-1.39774818678984,0.144978187460862,12,25.5728164554555,16,16,"SDHB",0,0
"UQCRC2",0.697074309993057,0.922110204185493,-0.0845799034958432,-0.398760414453156,0.212107070888249,12,25.4452759172466,16.0000000000058,16,"UQCRC2",0,0
"RPS12",0.76064821169168,0.941563541109262,0.0465580674926436,0.311658652444792,0.149388015148692,12,26.7783969728551,16.0000000039236,16,"RPS12",0,0
"DNAJA1",0.010616806086334,0.122287479860273,-0.32107458226757,-3.0223320470483,0.106234052800764,12,26.69015682839,16.0000000001776,16,"DNAJA1",0,0
"UQCRC1",0.014944026324723,0.139748840234662,-0.232088032584937,-2.83829130941863,0.0817703354883878,12,26.2584763106912,16.0000000000079,16,"UQCRC1",0,0
"SUCLG1",0.0127892626167216,0.130903176967633,-0.284700854399944,-2.92214476031278,0.0974287305223956,12,25.6923114924157,16.0000000000001,16,"SUCLG1",0,0
"RARS",0.91289625614669,0.961490172009611,-0.0117080750715353,-0.111715033322796,0.104803039692118,12,25.3662415295371,16.0000000166214,16,"RARS",0,0
"RPL37A",0.334053982110292,0.633529187032965,-0.16580585136337,-1.00646942206992,0.164740078265241,12,27.3429431076711,16.0000000000457,16,"RPL37A",0,0
"EP300",0.0543182613632647,0.250719117545683,0.270631146706588,2.13243948478551,0.126911524869748,12,24.4951025617114,16.0000000000721,16,"EP300",0,0
"TP53BP2",0.795540428159493,0.941563541109262,-0.0367008165318801,-0.264955072854734,0.138517130985455,12,22.8066772898056,16.0000000000165,16,"TP53BP2",0,0
"PKN2",0.745656422153302,0.941063743196702,0.0271397135213292,0.331945484412273,0.0817595502748936,12,24.9971469542212,16.000000000001,16,"PKN2",0,0
"RALY",0.827564046101636,0.941563541109262,-0.0198019200568496,-0.222634895172525,0.0889434697175597,12,25.4746464033479,16.0000000000501,16,"RALY",0,0
